ranobedb_id,anilist_id,myanimelist_id,anidb_id
3343,85737,74697,11370
12295,136833,142171,18795
6547,98610,104039,15441
8821,108428,115922,16073
11978,130687,134341,17914
5180,86406,95012,14201
9601,113533,123649,17108
4239,87383,86119,14727
4557,94970,89357,13153
3768,99026,86769,17870
3580,86355,87610,13871
3336,85470,70261,14758
1180,85134,55215,
2405,85976,81669,10816
2643,85162,56743,10894
3486,91170,70399,13900
12985,143071,152588,19744
3079,86238,60553,11261
490,,,5975
12417,135276,138481,18317
2276,,,
3148,94846,88930,11905
4602,86274,88923,13624
1234,51479,21479,8692
5549,97100,97869,
14193,154060,160251,18845
12616,142687,156106,18124
8107,104504,116557,17005
1014,,,
2864,,56755,
5670,97752,107884,15505
12813,147074,170020,19472
677,39115,9115,5406
11802,126268,133352,17529
4915,86774,93314,15875
1844,70171,40171,9310
5494,98741,102330,15202
5853,97466,99891,16785
10567,122462,127956,19001
12081,131534,142169,19283
2933,85465,57201,11126
11131,133484,129988,18939
1941,64127,34127,10182
9719,110683,120855,16031
8554,,122975,
2823,87224,90118,
9635,121795,130231,18811
3464,86345,83019,12603
9785,113399,128337,17608
1101,55409,25409,8660
10783,136341,137668,
1008,,9726,
413,33083,3083,3651
11957,142688,164608,19097
11138,129883,138404,19029
9708,116552,131650,19142
10349,122363,134932,18702
8046,111631,121466,16028
1821,67523,37523,8808
10484,114920,138744,17569
17064,109206,138424,17766
9180,107604,120548,16055
4031,87284,81211,12238
8215,104475,114279,15853
6384,100068,102667,
8329,110986,114779,18438
12160,144071,143948,
5645,,102702,
12201,137514,148970,18989
9043,120040,133757,17767
9269,117945,127502,19822
8372,106997,115587,19310
5304,87320,95311,
6491,,,
1826,,,
4380,,,
5726,101810,99059,17204
16586,192657,,
7643,107541,118108,18432
5571,97102,97871,
15515,,,
8466,128841,131030,18498
2508,,43921,
10821,118763,148800,
10426,,138763,
11430,129152,132505,18164
3275,98361,126479,
2736,,,
2993,85743,67617,13246
14951,174232,164466,20010
7247,103852,109105,14523
1839,,,
4516,,88467,
8953,109422,132874,16457
12984,,,
15512,,,
4538,97929,100512,15342
17109,182974,,
6818,,106755,
8965,116864,123121,18242
16936,,173328,
9567,115947,128185,18094
9367,109253,120449,16026
6095,101225,101662,17749
8347,111156,122317,
7429,100687,115165,17687
5611,99102,98449,13844
12647,137941,139909,19298
7422,103641,110329,
6159,98724,102334,14564
9752,117853,138406,17040
692,37149,7149,5909
7222,101794,109505,15400
6266,99049,101877,17689
10920,123151,137828,
3691,86458,76799,
5140,97494,100085,19217
14414,172020,167138,
12946,145940,142819,18209
9027,119352,122887,16069
5897,110380,100153,17662
10386,127010,131762,
5308,101829,109032,18831
10234,,,
10375,136865,151461,
6551,99605,103707,17686
9470,122786,126487,17937
15087,,,
10482,115935,125340,17256
14570,,,
15011,,,
3648,91885,73823,15578
4293,,,
2473,,,
9523,113381,122521,16921
13590,147234,148862,
12428,,,
8669,114871,138403,18172
8946,116063,126908,17580
4307,,86870,14693
9569,124758,138555,
9090,125444,138148,17304
1215,85761,61307,10480
2551,86411,57065,
14270,153615,154012,
4070,93368,83225,13757
3311,85635,66433,11974
10266,118986,152709,17712
11940,131902,138202,18118
4628,,,
6941,99104,107569,17878
4595,87239,90467,16262
13673,87427,178091,
13447,146826,146392,
13132,144223,147963,
3514,86378,70363,
5451,96942,97090,16537
1194,53116,23116,8691
4197,50006,83903,18093
8809,120511,142667,
189,40892,10892,
13340,172696,156105,19131
5457,97450,99815,16261
6915,101716,108034,17523
9577,125554,138320,17688
9685,128053,133336,19201
2694,85200,57979,10399
14537,160044,155733,19158
13419,160823,176475,
8782,,,
7443,,110045,
7841,,,
12625,138756,140176,19679
489,,,
4826,100559,103925,14449
14006,154010,152170,19865
11095,,,
12841,,,
11726,134500,142012,17530
7314,101770,109947,17320
10159,,,
10288,125285,133309,
6363,107121,113777,18247
7789,102475,115193,17695
1799,,,
12606,180910,,
10530,126133,133172,
13370,147237,145881,
17402,,,
8023,113567,145695,17038
2378,,,11572
20899,,,
5654,,,
7257,,,
6581,,,
11354,,,
12214,136332,138375,19690
9051,,,
11345,125813,130978,
3708,86646,75065,11995
15046,,,
7406,,,
11685,132233,135688,18708
2653,85810,59087,12425
1471,,,
10289,114050,137259,18208
17534,100147,89768,16446
2472,86487,56329,
10304,122737,125038,17015
10770,,,
16146,,,
5088,87114,94200,
6039,,,
6745,111668,118237,
13292,146230,144883,
947,,2062,4932
15858,,,
10584,,,
12697,145950,162846,18528
4080,,,
14852,182992,173422,
10970,125198,134946,18026
7547,100850,110615,
8813,,123435,
6694,,117077,13363
799,48161,18161,6613
9414,,,
2142,,,
7433,104818,115066,19162
1892,,,
10395,,,
6567,99760,104126,
16492,,,
11969,130733,136697,18117
13748,153351,150141,
12110,140919,153625,
8288,,134997,
390,31342,1342,
699,40000,10000,7441
10041,131745,137865,17866
10694,138706,166354,18536
8473,106663,117446,18361
17065,147375,,
1981,86037,55869,10938
4120,,,
9165,,,
14180,,,
6515,101502,111629,15720
11337,131049,153622,18266
1267,53881,23881,
244,,399,
15250,168730,162740,
17062,59699,29699,8556
18011,,192945,
6585,,,
12399,163254,156101,
180,31315,1315,13899
14199,,,
2321,,,
8080,105867,119106,
8622,106767,133242,19484
17132,117452,139711,18938
13834,,,
11794,134924,138915,17943
14659,,,
10435,,,
15751,,,
5745,101285,98532,15266
14391,156455,154062,
9541,110770,134941,17611
6540,,103761,
12279,,,
11018,131177,100224,
14294,,,
14157,,,
13952,,,
5037,98368,94034,
12071,145614,162843,18793
10676,128801,171234,19327
13305,,,
11634,164805,,
13715,,,
10009,139370,140399,16732
3267,85943,82593,18270
13631,179182,172040,
4855,87425,92231,13281
6625,101569,105278,
12090,149107,174100,18940
1115,,,8323
11066,,,
8695,123329,122883,
9311,,,
7236,110779,128006,16826
13962,,,
15290,175916,173118,19720
10398,,,
15168,194368,181481,
4861,,,
18447,,,
6332,,102860,
5174,96557,95109,
376,,,
4528,94973,89361,
8084,,,
7127,111704,107974,
14356,154693,154666,
12860,,,
17053,,,
10048,137910,139551,16538
6418,,,
16428,179850,,
17608,,,
11806,128508,133298,17146
14325,156431,154522,
15678,,,
1022,38876,8876,
12140,,,
13801,165106,172016,
6482,,,15215
13761,123085,143701,17159
12188,134421,138718,17828
2351,,,
503,,5450,
13495,147275,146951,19530
17037,65513,35513,8855
14048,,,
3733,,,
1946,,,
1656,,,
3604,,,
13195,,145562,
14971,166882,160625,
11667,126674,134249,19226
8048,,,
14796,182486,174732,
10611,,,
8702,102592,107782,14391
7958,106819,103995,15339
14539,,,
7277,101736,108595,
12906,154598,158386,
9837,122780,161679,18154
14607,183667,172050,
10185,,,
11438,138519,135045,
13857,151758,149677,
12923,170167,163698,18719
1088,43667,13667,7525
12766,,,
6433,,,
1897,,26201,
11028,125252,133751,18592
12868,,,
6319,111676,102850,16130
4007,,,
15134,97406,99627,17557
13023,,,
8322,114384,114780,
16246,182489,,
553,48511,18511,19208
15012,,178714,
15296,182487,174735,
12710,144545,150515,18103
4938,98044,93074,14750
17151,,,
4180,86081,83875,16792
1674,,,9341
10214,177869,125995,
10174,,,
2704,,,
10782,125435,136365,
16892,,,
5572,,,
11084,,,
6210,,,
19881,,,
13833,156273,,
14161,,,
805,42295,12295,
1523,75966,45966,16827
1331,51621,21621,8419
2747,,,
1772,,3649,
8944,107534,120192,
10337,,,
7758,104505,116201,15332
10952,,,
13226,184406,176442,
1895,71699,41699,
15762,180765,,
3821,86336,103135,
14789,,,
7852,110567,,
2504,,,
3964,,,16018
18316,,,
7181,103851,108401,15557
17209,,,
13708,182930,170566,
9816,121174,116387,
1829,31313,1313,7719
10231,127744,133477,
10752,,,
7046,,107279,15277
8783,122645,124074,
15987,,,
9251,128284,120098,
8125,,,
12289,141536,145202,
13917,151930,151207,
3771,,,
1301,,,
1733,64553,34553,9999
2967,86118,56217,11233
14266,173047,172007,
17120,,,
11527,,,
17049,97298,98930,12138
12402,,,
9208,141935,142027,
11842,,,
16536,,,
3297,85166,63271,11981
9349,117229,134989,17075
4369,,,
2657,86473,67879,11602
10099,,,
14809,,,
1382,,,10864
15108,,,
13915,,,
12162,173855,176441,19521
11116,,,
7085,,,
11693,,,
17018,,,
14651,183771,,
1465,,,
2396,79567,49567,10538
8818,,,
8461,,,
12097,136330,142509,
4874,,92773,
1091,42297,12297,8109
14573,,,
1823,,37979,
12933,,150147,19531
10670,123563,133333,17031
6939,106944,120424,17552
1024,,,
9437,,,
12525,142686,156577,
4434,,128042,
16015,,,
